"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.8","...","1010.3","2015-01-08 09:01","995.5","2015-01-06 13:42","15.0","25.5","2015-01-06 12:03","5.2","2015-01-23 06:45","...","0.5","131","9.6","130","2015-01-17 13:32","1.0","...","2","...","...","...","...","0.5","2015-01-13 00:00","78","...","...","...","...","...","...","..."
"02","1001.6","...","1009.4","2015-02-09 09:43","994.7","2015-02-25 14:56","15.5","26.2","2015-02-21 12:25","4.4","2015-02-13 06:13","...","0.1","295","8.4","159","2015-02-09 00:25","22.5","...","2","...","...","...","...","12.0","2015-02-16 00:00","85","...","...","...","...","...","...","..."
"03","1000.3","...","1008.7","2015-03-25 20:28","991.5","2015-03-18 14:25","17.7","30.6","2015-03-19 10:54","10.5","2015-03-11 01:22","...","0.1","287","7.7","142","2015-03-24 19:46","59.0","...","7","...","...","...","...","26.0","2015-03-11 00:00","90","...","...","...","...","...","...","..."
"04","996.6","...","1003.8","2015-04-08 10:36","986.9","2015-04-20 04:14","21.4","34.1","2015-04-19 11:41","9.3","2015-04-15 06:09","...","0.4","291","9.8","330","2015-04-19 15:22","89.0","...","13","...","...","...","...","31.0","2015-04-11 00:00","84","...","...","...","...","...","...","..."
"05","992.0","...","996.7","2015-05-12 22:13","985.2","2015-05-28 15:56","24.6","34.7","2015-05-28 14:34","17.6","2015-05-05 03:44","...","0.4","299","9.0","294","2015-05-30 14:52","360.0","...","15","...","...","...","...","83.0","2015-05-12 00:00","89","...","...","...","...","...","...","..."
"06","990.6","...","994.4","2015-06-01 22:36","984.8","2015-06-30 17:07","27.8","35.0","2015-06-11 13:59","21.7","2015-06-09 06:16","...","0.3","278","9.2","240","2015-06-05 14:45","104.0","...","7","...","...","...","...","81.5","2015-06-23 00:00","84","...","...","...","...","...","...","..."
"07","987.5","...","997.4","2015-07-28 18:25","975.6","2015-07-11 03:53","27.7","36.0","2015-07-05 14:25","20.2","2015-07-29 04:25","...","0.2","279","11.0","316","2015-07-11 08:21","177.5","...","8","...","...","...","...","86.5","2015-07-10 00:00","85","...","...","...","...","...","...","..."
"08","988.1","...","996.5","2015-08-02 08:05","950.9","2015-08-08 09:13","26.8","36.6","2015-08-21 14:23","20.6","2015-08-06 02:51","...","0.3","130","13.8","130","2015-08-08 03:24","510.0","...","17","...","...","...","...","152.0","2015-08-07 00:00","87","...","...","...","...","...","...","..."
"09","992.6","...","999.1","2015-09-17 21:39","964.5","2015-09-28 22:04","26.1","34.4","2015-09-06 12:25","19.4","2015-09-10 04:57","...","0.3","135","13.6","2","2015-09-28 17:28","237.5","...","8","...","...","...","...","142.5","2015-09-28 00:00","81","...","...","...","...","...","...","..."
"10","996.2","...","1004.6","2015-10-31 08:41","985.1","2015-10-20 02:56","24.3","34.1","2015-10-19 14:26","16.6","2015-10-15 06:04","...","0.6","141","10.5","139","2015-10-02 08:44","77.5","...","10","...","...","...","...","60.5","2015-10-09 00:00","81","...","...","...","...","...","...","..."
"11","999.6","...","1004.3","2015-11-29 09:17","995.2","2015-11-16 15:18","22.1","32.6","2015-11-17 12:29","14.3","2015-11-29 01:17","...","0.4","148","9.7","148","2015-11-10 11:52","11.5","...","7","...","...","...","...","4.5","2015-11-21 00:00","84","...","...","...","...","...","...","..."
"12","1002.2","...","1011.0","2015-12-28 09:52","993.2","2015-12-10 03:20","17.7","29.2","2015-12-22 13:25","9.4","2015-12-17 17:55","...","0.5","132","9.7","299","2015-12-14 19:31","106.5","...","13","...","...","...","...","38.0","2015-12-10 00:00","85","...","...","...","...","...","...","..."